종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
유니슨,+708,-733,+27,+27,,,,,,,-2
유니포인트,,,,,,,,,,,
유비온,,,,,,,,,,,
유아이디,,,,,,,,,,,
유안타제4호스팩,-9,-1,+10,-24,,,,,,+34,
유안타제6호스팩,-21,+18,,,,,,,,,+3
유앤아이,-10,+20,-10,-10,,,,,,,
유엑스엔,,,,,,,,,,,
유진로봇,-43,+73,,,,,,,,,-30
유진스팩5호,,,,,,,,,,,
유테크,,,,,,,,,,,
유투바이오,,,,,,,,,,,
유틸렉스,+65,+59,+12,+3,,,,,+5,+4,-134
육일씨엔에쓰,+14,-18,,,,,,,,,+14
이노벡스,+23,,,,,,,,,,-23
이노와이즈,,,,,,,,,,,
이노인스트루먼트,+17,-17,+1,+1,,,,,,,
이노진,,,,,,,,,,,
이노테라피,+15,-15,,,,,,,,,
이녹스,-687,+400,+233,-52,,+285,,,,,+58
이더블유케이,+152,+69,,,,,,,,,-222
이도바이오,,,,,,,,,,,
이디티,-200,-32,,,,,,,,,+223
이미지스,+43,-25,,,,,,,,,-18
이베스트이안스팩1호,,,,,,,,,,,
이베스트투자증권,-221,+55,+146,+172,+1,-26,,,+2,-2,+4
이비테크,,,,,,,,,,,
이수앱지스,+3600,-2259,-840,-503,,-337,,,,,-307
이스트아시아홀딩스,+141,-153,,,,,,,,,
이십일스토어,,,,,,,,,,,
이앤에치,-17,,,,,,,,,,+17
이에스에이,,,,,,,,,,,
이엠네트웍스,,,,,,,,,,,
이엠앤아이,,,,,,,,,,,
이엠코리아,+71,-76,+5,+5,,,,,,,
이엠티,-23,,+23,,,,,,,+23,
이즈미디어,+112,-66,+6,,,,,,,+6,-1
이큐셀,,,,,,,,,,,
이트론,+8951,-5625,-3231,,,-3231,,,,,+151
이화전기,+3221,-1657,-1411,-3,,-1408,,,,,-19
인바이오,-11,+17,-5,-5,,,,,,,
인바이츠바이오코아,-3,,+3,+3,,,,,,,
인성정보,,-3,,,,,,,,,+1
인콘,+367,-364,,,,,,,,,
인카금융서비스,,,,,,,,,,,
인터엠,-60,+60,,,,,,,,,
인터코스,,,,,,,,,,,
인터플렉스,-93,+161,-2,,,-3,,,,,-66
인트로메딕,-34,+45,,,,,,,,,-11
인포마크,+23,-23,,,,,,,,,
인포바인,+1,-1,,,,,,,,,
인포뱅크,-33,+55,,,,,,,,,-33
인피니티엔티,,,,,,,,,,,
일야,,,,,,,,,,,
잉크테크,+74,-74,,,,,,,,,
자안바이오,+24,+53,,,,,,,,,-78
장원테크,,,,,,,,,,,
전우정밀,,,,,,,,,,,
전진바이오팜,-72,+72,,,,,,,,,
정다운,-59,+58,,,,,,,,,
제낙스,,,,,,,,,,,
제넨바이오,-408,+378,,,,,,,,,+29
제노텍,,,,,,,,,,,
제노포커스,+167,-128,,,,,,,,,-36
제닉,-101,+146,-7,-6,,,,,,-1,-63
제이시스메디칼,+263,-214,-46,-48,,,,,,+2,-5
제이에스티나,,,,,,,,,,,
제이엠아이,+21,-21,,,,,,,,,
제이웨이,,,,,,,,,,,
제테마,-625,+317,-2111,,,-4,,,-718,-1388,+2409
젬백스지오,+98,-99,,,,,,,,,
젬백스,+406,-377,-157,+4,,,,,-68,-93,+155
좋은사람들,,,,,,,,,,,
지더블유바이텍,,,,,,,,,,,
지스마트글로벌,,,,,,,,,,,
지앤이헬스케어,,,,,,,,,,,
지엔코,+3,-7,,,,,,,,,
지엘팜텍,+88,-93,,,,,,,,,
지오씨,,,,,,,,,,,
지유온,,,,,,,,,,,
지트리비앤티,-252,+187,-9,-6,,,,,,-3,+80
지티지웰니스,-239,+239,,,,,,,,,
진바이오텍,-144,+31,,,,,,,,,+93
진코스텍,+1,,-1,,,,,,,-1,
질경이,,,,,,,,,,,
천랩,+124,+45,-167,,,,,,-167,,
청광건설,,,,,,,,,,,
체리부로,+14,-14,,,,,,,,,
초록뱀미디어,-294,+230,-17,+1,,-18,,,,,+93
초록뱀컴퍼니,-48,+1,,,,,,,,,+42
카이노스메드,-331,+274,+13,+1,,+1,,,,+11,+56
캐리소프트,-120,+112,,,,,,,,,+22
캐스텍코리아,-183,+153,,,,,,,,,
캔서롭,,,,,,,,,,,
케어룸의료산업,+2,,-2,-2,,,,,,,
케이디켐,-31,+40,,,,,,,,,-11
케이맥,-104,+88,,,,,,,,,+16
케이비제19호스팩,,,,,,,,,,,
케이씨피드,-40,+57,-19,-16,,,,,,-4,
케이에스피,-39,+39,,,,,,,,,
케이엔제이,+163,+1109,-426,-75,,+76,,,,-427,-856
케이프이에스제4호,,,,,,,,,,,
케이피엠테크,+2587,-2579,,,,,,,,,-39
케이피티유,-52,+41,,,,,,,,,+11
코나아이,+224,-370,+155,+262,-1,+109,,,,-215,-5
코너스톤네트웍스,,,,,,,,,,,
코다코,+2,-2,,,,,,,,,
코디,+79,-39,,,,,,,,,-44
코드네이처,+10,,,,,,,,,,
코디엠,+1794,+18,+272,,,+272,,,,,-2052
코렌,+250,-166,,,,,,,,,-91
코렌텍,-81,+36,,,,,,,,,+38
코리아에스이,-4,+4,,,,,,,,,
코셋,,,,,,,,,,,
코센,,,,,,,,,,,
코스나인,+29,-20,,,,,,,,,
코스맥스엔비티,-1495,+1091,+542,+5,+149,+300,,,+88,,-132
코스온,,,,,,,,,,,
코아시아옵틱스,,,,,,,,,,,
코오롱생명과학,-84,+67,,,,,,,,,+17
코이즈,+48,-49,,,,,,,,,
큐로컴,-68,+82,-1,-1,,,,,,,-15
큐로홀딩스,-16,+12,,,,,,,,,
큐리언트,-125,+109,,,,,,,,,-106
큐브앤컴퍼니,-11,+11,,,,,,,,,-1
큐엠씨,,,,,,,,,,,
크로넥스,-1,,+1,+1,,,,,,,
크로바하이텍,,,,,,,,,,,
크루셜텍,+7,-11,,,,,,,,,-3
키네마스터,+2669,-2405,,,,,,,,,-272
키움제5호스팩,+8,,-8,-8,,,,,,,
탑선,+12,,-12,,,,,,,-12,
태양기계,,,,,,,,,,,
태양,-3,+2,,,,,,,,,+1
태웅,,,,,,,,,,,
테라사이언스,-39,+61,,,,,,,,,-22
테라셈,,,,,,,,,,,
테크엔,,,,,,,,,,,
테크트랜스,,,,,,,,,,,
텔콘RF제약,+152,-158,+3,+4,,,,,+5,-7,
토탈소프트,-152,+143,,,,,,,,,
투비소프트,-3,-11,,,,,,,,,+12
툴젠,,,,,,,,,,,
티앤알바이오팹,-1971,+711,+1318,-151,,+1427,,,,+42,-49
티엘아이,-14,+6,,,,,,,,,+7
티케이씨,,,,,,,,,,,
티티씨디펜스,,,,,,,,,,,
티피씨글로벌,+201,-189,-13,-11,,,,,,-3,
틸론,,,,,,,,,,,
파나진,-229,+287,,,,,,,,,-57
파라텍,,,,,,,,,,,
파루,+7,-1,,,,,,,,,
파마리서치바이오,,,,,,,,,,,
파수,-282,+318,+18,+10,,,,,,+7,-56
파워넷,-374,+353,,,,,,,,,+1
파워풀엑스,,,,,,,,,,,
파인디앤씨,+7,-65,+59,+59,,,,,,,
팍스넷,,,,,,,,,,,
판도라티비,,,,,,,,,,,
판타지오,-38,-17,,,,,,,,,+17
팬젠,-116,+39,,,,,,,,,+78
펨토바이오메드,,,,,,,,,,,
펩트론,-29,+155,-8,-8,,,,,,,-119
포스링크,,,,,,,,,,,
포인트모바일,-93,+107,-7,-5,,,,,,-2,-3
포티스,,,,,,,,,,,
폭스소프트,-2,,+2,+2,,,,,,,
폴라리스오피스,+99,-99,,,,,,,,,
폴라리스웍스,+588,-365,,,,,,,,,-223
푸른저축은행,-8,+29,-13,-13,,,,,,,
퓨전,,,,,,,,,,,
퓨쳐켐,-352,-35,,-1,,,,,,,+304
프로스테믹스,+93,-119,,,,,,,,,+29
프로테옴텍,+8,,-8,,,,,,,-8,
프리엠스,+195,-174,,,,,,,,,
플럼라인생명과학,,,,,,,,,,,
피노텍,-6,,+6,,,+6,,,,,
피씨엘,-1302,+1271,-4,-4,,,,,,,+39
피에스엠씨,-534,+415,-12,-12,,,,,,,+139
피에이치씨,-5,-4,,,,,,,,,+1
피엔아이컴퍼니,,,,,,,,,,,
픽셀플러스,-6,+6,,,,,,,,,
필옵틱스,-142,+111,+29,+2,,,,,,+26,
하나기술,-2055,+640,+1432,+1,+13,+304,,,+54,+1061,+8
하림,-10,-47,+48,+48,,,,,,,+10
하이소닉,,,,,,,,,,,
한국미라클피플사,,,,,,,,,,,
한국정밀기계,,,,,,,,,,,
한국정보공학,-5,-1,,,,,,,,,+6
한국제8호스팩,-29,,+29,,,,,,,+29,
한국코퍼레이션,,,,,,,,,,,
한국테크놀로지,-35,+10,,,,,,,,,+21
한국파마,-487,+526,-7,-7,,,,,,,-43
한스바이오메드,-340,+246,+5,-1,,+6,,,,,+68
