종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
엔솔바이오사이언스,-130,,,,,,,,,,
엔시트론,-8784,+3784,,,,,,,,,+5000
엔에스엔,-37311,+37815,,,,,,,,,
엔에스엠,,,,,,,,,,,
엔에스컴퍼니,,,,,,,,,,,
엔지브이아이,+1670,,-1670,-1670,,,,,,,
엔지스테크널러지,,,,,,,,,,,
엔지켐생명과학,-44298,+24218,+28127,+8233,+3536,+5057,,+240,+5242,+5819,-4238
엔케이맥스,+10493,+811,-3375,+457,,,,,-4670,+838,-6429
엔투텍,+66384,+91923,+12600,+11070,,+1530,,,,,-180196
엘디티,-701,-478,+1179,+967,,,,,,+212,
엘리비젼,+79,,,,,,,,,,-79
엘아이에스,+1833,+817,,,,,,,,,-2220
엘앤케이바이오,+18477,-2215,-21696,-13,,-2229,,,,-19454,+1593
엘에이티,,,,,,,,,,,
엘컴텍,-28547,+28907,,,,,,,,,
엠로,-600,+600,,,,,,,,,
엠앤씨생명과학,,,,,,,,,,,
엠젠플러스,,,,,,,,,,,
영신금속,+139534,-111426,-2492,,,,,,,-2492,-23347
예림당,-14467,+14456,,,,,,,,,
예스티,-54687,+63,+57870,+10400,,+19870,,,,+27600,-2816
오리엔트정공,-146667,+136505,,,,,,,,,
오션스톤,-16,,,,,,,,,,
오스테오닉,-37241,+36731,,,,,,,,,
올리패스,-38872,+49385,-9779,-9779,,,,,,,-790
올릭스,-9391,+721,+4256,+11,+546,-9350,,,+12666,+383,+4405
와이오엠,+30807,-61959,+13356,+12795,,,,,,+561,+14001
와이지-원,-29960,+429,+27615,,,+6728,,+11446,+9441,,+2000
우리기술투자,-538291,+880664,-362560,-11018,,-43728,,,,-307814,+12731
우리기술,-82337,+92078,,,,,,,,,-900
우리로,,,,,,,,,,,
우정바이오,-32083,+32085,,,,,,,,,-1
우진비앤지,+66365,+916,-56580,-56580,,,,,,,-10846
원바이오젠,-4351,+4021,,,,,,,,,
원익큐브,-431867,+313317,+115583,-18552,,+134135,,,,,+6301
원익,-21960,+21960,,,,,,,,,
원텍,-375,,-1483,-1483,,,,,,,+1858
원포유,-39,,,,,,,,,,+39
원풍물산,+13248,-13033,,,,,,,,,
웨이브일렉트로,+7245,-7275,,,,,,,,,
웹스,-43412,+5786,-1500,,,,,,,-1500,+39026
위니아딤채,-140215,-20102,+152374,-18986,+137900,+22046,,,,+11414,+10485
위메이드맥스,-4120,+5018,,,,,,,,,
위월드,,,,,,,,,,,
위즈코프,-131586,+17346,+131300,,,+136388,,,,-5088,-13984
위지트,-5957,-39060,+21582,,,+2631,,,,+18951,+16000
유니슨,+160202,-166120,+6139,+6139,,,,,,,-387
유니포인트,,,,,,,,,,,
유비온,,,,,,,,,,,
유아이디,,,,,,,,,,,
유안타제4호스팩,-4395,-240,+4635,-11086,,,,,,+15721,
유안타제6호스팩,-6964,+5964,,,,,,,,,+1000
유앤아이,-2157,+4256,-2176,-2176,,,,,,,
유엑스엔,,,,,,,,,,,
유진로봇,-10198,+17187,,,,,,,,,-7000
유진스팩5호,-1,,+1,+1,,,,,,,
유테크,,,,,,,,,,,
유투바이오,+1,,,,,,,,,,
유틸렉스,+1637,+1537,+324,+106,,,,,+120,+98,-3449
육일씨엔에쓰,+5235,-6685,,,,,,,,,+5246
이노벡스,+5000,,,,,,,,,,-5000
이노와이즈,,,,,,,,,,,
이노인스트루먼트,+7494,-7805,+265,+265,,,,,,,
이노진,,,,,,,,,,,
이노테라피,+982,-982,,,,,,,,,
이녹스,-38308,+22781,+12555,-3000,,+15555,,,,,+3183
이더블유케이,+20230,+9170,,,,,,,,,-29570
이도바이오,,,,,,,,,,,
이디티,-172380,-22959,,,,,,,,,+187922
이미지스,+15561,-8626,,,,,,,,,-6900
이베스트이안스팩1호,,,,,,,,,,,
