종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
TIGER 미국채10년선물,+3921,-69,-8058,-12787,,+4729,,,,,+4000
TIGER 미디어컨텐츠,-7108,+446,+2037,-3947,,,+5481,,,+503,
TIGER 반도체,-3874,+2138,+8775,-5145,+12000,+470,+1450,,,,-7014
TIGER 방송통신,+898,,-898,-898,,,,,,,
TIGER 배당성장,-590,,+590,-903,,+1493,,,,,
TIGER 베타플러스,-13,,+13,+13,,,,,,,
TIGER 부동산인프라고배당,+61674,+498,-54316,-156233,,,+81016,,,+20901,-10000
TIGER 삼성그룹펀더멘털,+2484,,-2484,-12396,,,+9912,,,,
TIGER 소프트웨어,-39048,+2356,+36120,+5739,,+55,+18246,,,+12080,
TIGER 여행레저,+30944,,-28748,-29804,,,+1056,,,,-2270
TIGER 우량가치,+1051,,-1051,-2840,,+2756,,,,-967,
TIGER 우선주,+660,,-650,-650,,,,,,,-10
TIGER 원유선물Enhanced(H),-81046,-1,+94619,+94619,,,,,,,
TIGER 유로스탁스50(합성 H),+648,+6,-574,-1339,,+343,+47,,,+375,
TIGER 유로스탁스배당30,+1475,,-3875,-3875,,,,,,,
TIGER 의료기기,-1726,,+2193,+2193,,,,,,,
TIGER 인버스,+4963,-251,-4711,-49711,,+45000,,,,,
TIGER 일본TOPIX(합성 H),+21,,-21,-21,,,,,,,
TIGER 일본니케이225,+170,,-170,-170,,,,,,,
TIGER 일본엔선물,+728,,-728,-728,,,,,,,
TIGER 중국소비테마,+2771,-180,-2575,-8448,,,+5873,,,,-16
TIGER 중소형성장,-705,,+714,+714,,,,,,,-9
TIGER 중장기국채,-73,,+73,+112,,,-39,,,,
TIGER 증권,+6236,,-6236,-6236,,,,,,,
TIGER 차이나CSI300인버스(합성),+700,,-700,-700,,,,,,,
TIGER 차이나CSI300,-37889,+58108,-25113,-25122,,+1,+8,,,,+5051
TIGER 차이나HSCEI,-804,,+804,+798,,,+6,,,,
TIGER 차이나전기차SOLACTIVE,-139963,-14830,+156818,+90399,,,+66419,,,,-21
TIGER 차이나항셍25,-79,,+84,+84,,,,,,,
TIGER 코스닥150IT,-1454,,+1454,-13170,,,+14624,,,,
TIGER 코스닥150바이오테크,-1009,,+1009,+1009,,,,,,,
TIGER 코스닥150,-11693,-568,+12293,-38189,,+35000,-4518,,,+20000,
TIGER 코스닥150선물인버스,+43961,+28839,-72800,-24800,,,,,,-48000,
